MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
1.89,28,4.319,3.031,4990,1.874,39.67476,-114.237,0.857
5.354,38,3.109,4.359,3375,2.262,32.91473,-119.94155,2.155
5.553,36,9.969,4.811,3179,5.184,39.91391,-114.96143,2.267
11.214,36,4.779,3.624,3959,4.572,41.02345,-117.78317,4.443
9.926,43,3.092,2.311,1815,4.676,38.50406,-121.55716,4.283
13.421,41,4.492,3.419,1629,1.496,40.75749,-120.95465,6.418
7.611,46,6.111,1.109,1396,3.422,34.47733,-117.87249,3.51
2.674,4,2.704,2.823,3792,3.822,41.05976,-117.40037,0.705
10.985,13,4.821,3.909,2436,4.9,41.39092,-118.72823,4.738
11.651,38,7.351,1.145,4506,3.111,35.20569,-114.6355,4.912
8.858,45,9.327,3.413,2350,3.704,35.78098,-117.6641,4.65
11.794,25,5.18,3.353,2476,2.192,39.25363,-122.69927,5.436
7.913,3,6.517,1.759,2245,5.161,35.69265,-123.84937,3.901
8.318,32,7.088,3.277,463,5.569,41.90026,-115.87746,3.615
6.986,39,2.566,2.638,1614,3.321,35.23786,-121.39232,2.896
1.356,1,4.738,2.915,419,3.186,32.77429,-114.33888,0.962
2.51,11,7.474,2.302,3259,2.641,40.26748,-116.84941,2.397
1.44,2,7.885,4.241,4552,2.334,32.91132,-121.36625,-0.439
9.91,5,4.848,2.463,3540,3.767,41.75547,-114.59786,3.974
5.401,22,2.054,4.163,267,1.844,38.19958,-123.77658,2.211
8.12,46,2.055,1.306,2333,3.947,36.67338,-119.24892,3.6
13.706,13,6.305,2.114,694,3.807,39.45949,-122.7192,5.38
4.49,48,6.412,2.611,1112,4.47,39.30045,-114.88226,2.361
6.745,23,6.446,2.618,4810,2.129,36.19098,-124.06338,3.445
11.578,47,7.774,2.765,3521,4.51,34.53244,-116.84185,5.163
4.203,31,9.37,3.61,1642,1.085,40.52668,-115.51816,1.88
2.078,35,9.921,3.296,2590,3.672,41.25877,-121.54078,1.218
5.057,38,7.609,3.084,926,5.22,41.95118,-116.88961,2.118
3.257,41,6.112,4.351,3541,4.639,35.95082,-123.49972,2.933
14.016,35,3.128,1.785,4307,5.254,37.9808,-122.75775,5.526
12.314,45,5.073,4.441,2433,1.742,41.82,-114.52142,5.993
9.868,13,6.58,4.246,2541,4.594,36.41846,-122.07314,4.459
13.2,7,9.998,1.783,1221,3.345,40.00963,-121.39705,5.295
12.251,5,3.016,3.496,4362,2.616,41.42768,-115.19887,5.466
3.612,29,8.345,1.893,1404,2.779,34.26188,-121.38598,1.988
13.496,8,9.992,4.771,2059,1.51,39.38335,-119.08337,4.815
8.551,8,8.442,2.972,4235,4.485,39.17774,-121.33929,3.161
12.304,7,8.137,1.815,587,4.159,36.1951,-117.04587,6.184
13.545,19,4.069,3.544,1638,1.763,41.81949,-114.39269,5.441
5.452,39,2.027,3.829,535,3.721,40.73494,-123.20399,2.73
2.541,23,3.808,3.42,3985,1.648,41.94559,-116.14867,0.86
4.191,36,8.318,1.967,1221,2.567,37.72571,-118.52212,2.069
6.98,42,2.858,3.941,4520,1.221,34.61048,-118.8182,3.368
12.452,32,4.369,4.718,569,4.105,35.15366,-118.0145,5.361
13.05,45,6.5,4.809,3999,1.062,40.01959,-115.93567,5.565
1.097,4,6.638,3.718,2649,2.304,35.9353,-117.10804,-0.15
8.15,30,6.344,4.361,1375,2.333,34.54213,-119.21143,4.475
6.844,51,9.847,4.915,3426,4.742,41.25792,-124.10168,2.829
4.11,42,2.098,1.174,4604,3.253,35.7392,-120.2616,2.891
2.678,39,5.901,2.908,4037,3.866,33.27545,-115.14518,1.711
5.727,5,6.035,2.166,1221,2.245,37.88214,-118.45346,2.221
14.201,3,4.347,2.899,2255,3.738,37.72711,-120.45926,5.771
5.525,22,6.201,4.668,449,1.746,36.51203,-123.71452,3.041
8.263,28,7.386,4.934,2270,5.962,36.74081,-114.42731,4.081
10.842,22,7.382,4.62,358,3.585,34.58773,-122.01881,4.045
6.091,22,2.703,1.788,2552,5.397,35.31034,-117.54504,2.372
14.605,34,8.42,4.211,2102,1.528,37.12233,-118.29116,5.927
14.474,29,9.446,4.271,276,3.952,41.73521,-122.6866,6.544
4.525,43,2.989,3.318,1937,4.355,41.81119,-122.24113,2.62
7.961,42,5.333,3.86,2529,4.945,33.32831,-114.71602,2.925
5.212,13,6.094,4.621,4165,3.43,41.11051,-114.13635,2.233
4.988,7,3.079,4.977,4058,1.18,36.68116,-120.62095,2.435
1.516,10,6.027,1.16,4017,2.306,36.86174,-119.24667,1.304
9.534,28,3.655,2.029,1703,2.403,35.91336,-119.04844,4.599
8.038,4,9.483,4.738,386,2.592,40.85425,-123.10013,2.977
1.721,32,5.588,2.317,4654,1.461,36.84323,-114.37073,1.645
4.901,22,9.959,1.426,4967,1.003,32.55392,-121.25135,2.373
13.716,20,2.372,2.253,3808,3.598,41.38596,-119.87861,6.206
4.354,48,3.021,3.074,2459,4.684,41.75393,-115.32142,1.617
3.029,20,5.546,2.544,2313,2.151,36.60787,-117.16266,0.684
7.852,6,8.995,4.153,2409,4.469,36.64319,-121.35262,4.38
14.799,9,6.442,3.444,2648,4.656,32.66635,-123.74543,7.156
4.389,28,7.859,2.74,3067,3.056,34.41697,-123.00573,1.962
10.41,13,5.389,4.989,3095,3.625,33.64113,-120.37599,2.839
11.663,31,2.324,4.544,4306,2.57,40.05778,-119.82918,3.936
4.327,39,7.183,4.449,1196,2.876,37.39664,-119.45342,1.691
11.195,50,7.072,3.269,2312,3.946,35.24878,-123.72105,4.303
6.149,14,2.571,4.12,1733,2.81,41.28358,-123.99153,2.254
9.852,22,3.367,2.344,1761,3.505,38.63813,-117.97876,4.235
9.869,37,5.809,2.319,1087,4.719,41.39819,-122.73105,3.971
8.501,45,5.573,4.568,3221,5.823,34.91528,-117.64507,3.126
2.264,24,8.019,3.387,4974,5.455,40.73148,-122.85258,0.879
12.694,8,5.099,2.374,4093,5.572,40.62084,-118.74468,4.878
5.491,15,7.306,4.381,3103,5.556,41.02274,-121.57637,2.498
3.611,51,7.635,2.77,2943,2.208,40.26564,-122.32509,2.017
1.571,41,7.16,2.6,3895,5.732,40.15845,-122.12505,0.822
9.273,6,6.769,1.105,2915,2.112,40.56552,-119.99478,3.927
10.486,23,8.445,3.716,2492,5.321,41.01157,-118.83393,4.941
1.232,25,7.257,3.131,674,3.905,36.52569,-115.90415,2.062
8.169,31,8.673,2.247,3360,5.193,34.58056,-116.91012,3.171
4.171,46,7.093,1.557,4349,5.911,33.18517,-122.21757,2.271
10.032,29,3.272,1.73,1782,5.379,35.11377,-119.92221,4.386
3.441,23,4.476,1.899,1301,5.083,40.69778,-124.07306,2.481
10.673,10,4.643,4.461,246,2.033,41.97244,-118.528,4.008
6.414,9,2.751,2.923,1866,5.3,36.51916,-117.14952,2.806
14.114,49,7.538,3.782,2891,1.829,36.94582,-116.75267,7.027
2.925,13,6.761,2.845,370,3.564,36.23072,-123.12061,1.376
5.775,32,6.718,2.895,115,3.512,37.73377,-119.25001,2.004
2.589,49,5.828,4.289,3063,3.594,37.04116,-115.30748,2.403
13.946,51,6.345,4.085,3683,4.616,38.99786,-122.49101,5.742
13.283,45,2.065,1.929,4342,2.98,35.1094,-123.65494,6.284
4.611,41,2.77,3.503,4119,3.283,36.32843,-121.72527,2.537
10.24,1,7.467,3.721,1131,4.295,36.32464,-123.32773,3.405
12.441,1,4.092,2.619,4245,4.412,35.52747,-123.79355,4.833
8.773,37,2.863,1.273,1824,3.188,40.08322,-122.08573,4.164
8.415,40,4.629,2.486,3051,1.261,37.63258,-120.61164,3.988
4.386,18,4.036,2.433,112,2.295,37.81993,-116.74024,1.15
2.303,36,2.235,3.763,1325,5.72,34.79097,-123.6384,1.605
13.561,31,5.284,4.238,758,5.637,36.52767,-114.36389,5.705
13.606,1,2.216,2.584,4629,4.248,35.77419,-124.27787,6.275
9.863,47,2.003,3.583,3578,1.926,41.12345,-116.09165,4.813
5.746,36,8.34,3.571,2076,1.479,32.85933,-124.3478,2.68
5.889,9,4.52,3.593,4045,5.748,34.16281,-121.80652,1.303
11.163,22,6.541,3.217,2305,5.366,38.77514,-114.79114,4.737
13.56,28,4.382,3.517,3072,2.99,38.24745,-119.93032,5.343
13.419,26,9.44,4.471,2720,4.148,39.28979,-120.88484,5.989
11.918,10,7.833,4.687,3718,5.571,32.93151,-117.63394,5.275
9.988,47,4.953,1.367,1491,1.691,40.88432,-116.49729,5.326
2.178,3,3.685,1.047,4572,4.181,41.34421,-114.94058,1.098
3.263,2,3.102,3.076,3277,5.597,39.92747,-115.00745,1.234
13.58,37,8.099,2.651,2518,5.183,34.16023,-117.20603,5.8
9.49,31,5.624,2.805,2257,2.436,39.99433,-123.93404,3.604
1.129,33,3.856,2.834,2441,5.76,35.50732,-121.20948,1.34
2.421,32,9.357,4.581,4157,2.016,33.94425,-121.29038,1.301
10.289,43,5.121,3.547,2478,2.043,33.2701,-121.0903,3.922
1.071,12,6.348,2.769,2571,1.483,32.94799,-123.30438,0.106
3.251,3,8.862,2.819,2371,1.591,40.50215,-123.97749,1.445
8.682,48,8.667,4.378,2320,4.808,40.50928,-122.01087,4.294
10.687,26,7.104,1.868,3300,2.379,32.81484,-118.38886,5.29
10.127,14,9.109,1.059,345,5.346,39.29847,-124.36885,5.431
4.14,12,9.617,2.913,2443,5.288,34.91399,-115.25762,1.887
10.971,26,9.481,4.842,708,1.582,34.61603,-114.91099,4.309
4.321,16,4.792,4.257,451,3.662,37.83906,-118.07702,2.124
5.556,8,5.177,2.634,3819,4.697,36.85007,-123.87093,2.173
11.451,49,3.924,1.7,392,4.413,34.29706,-114.30944,5.28
10.095,49,8.695,3.281,3626,1.518,32.55392,-118.02492,4.611
12.889,28,2.975,4.519,3283,2.609,35.56398,-118.93507,5.131
10.207,7,4.841,3.869,4911,4.06,36.35158,-119.4871,2.697
8.956,15,2.078,3.161,4272,3.922,37.0146,-123.04859,3.788
2.311,41,6.757,3.94,1710,5.07,36.37796,-116.18489,0.676
6.148,36,7.267,4.859,4275,1.28,36.11361,-119.29548,2.207
4.713,8,3.992,3.211,3727,3.402,41.65138,-124.19476,0.323
4.416,10,7.894,3.221,535,5.245,41.23943,-122.82812,0.89
14.622,15,5.052,2.914,3864,5.968,36.21649,-121.45117,6.348
6.503,18,4.494,3.266,3957,1.642,41.44323,-114.98085,2.737
13.489,46,9.649,3.541,4107,4.23,33.32765,-119.66642,5.695
9.836,37,6.71,1.817,3360,1.007,32.6209,-114.71096,4.378
12.127,41,4.019,3.272,1916,2.748,35.64292,-121.56902,4.509
8.037,45,9.866,1.054,4230,3.224,34.26015,-114.26315,4.243
9.077,51,5.1,4.752,4778,2.729,39.19204,-114.56161,4.219
7.895,43,7.183,1.151,311,4.123,38.44952,-117.06849,4.118
3.733,44,7.791,4.833,4478,1.077,41.75754,-116.60602,2.088
11.114,35,5.378,4.876,2880,5.541,39.66202,-124.15,3.51
4.931,2,6.287,3.107,2285,2.593,36.25012,-122.03145,1.425
1.34,22,3.918,2.33,4782,1.752,35.05392,-122.39233,1.088
10.037,15,5.727,1.74,584,3.166,33.01799,-114.5181,4.899
3.48,37,4.486,1.649,2905,3.57,35.01013,-120.18981,2.675
14.166,39,6.38,1.952,4078,1.26,34.23201,-118.20263,6.911
14.355,36,7.359,2.905,2633,4.995,40.47131,-121.62187,5.427
13.808,5,6.912,3.972,934,4.687,35.59563,-121.77768,5.882
6.182,48,8.214,2.595,2147,3.559,38.9951,-120.08455,2.287
1.216,15,2.332,4.124,2569,1.93,38.65503,-121.12781,0.563
13.996,27,2.629,3.258,1261,5.633,33.06372,-116.65987,5.762
6.995,16,3.643,1.077,4201,4.971,32.71441,-117.99126,2.55
14.533,36,9.886,1.527,3266,2.169,36.72801,-117.25403,5.999
14.491,38,8.402,3.289,3077,4.68,41.29515,-118.83975,5.98
12.942,18,9.393,1.645,2708,1.507,38.57316,-115.10095,5.911
5.122,35,4.177,3.433,1923,1.592,40.64041,-123.73511,2.844
6.391,25,6.591,2.781,4480,3.223,32.91779,-116.67725,3.009
12.916,22,6.439,3.76,477,4.509,36.09432,-121.92764,6.554
5.437,31,6.556,2.166,841,5.586,33.05923,-117.98168,1.732
3.373,37,7.741,4.287,884,5.855,35.73952,-114.86498,2.636
8.795,34,5.152,2.556,660,4.46,35.19968,-121.19876,4.385
14.106,23,7.418,4.187,2282,4.916,41.25402,-114.47125,5.971
10.744,16,8.307,1.077,2928,3.552,40.27261,-122.58465,5.949
8.981,6,4.313,2.572,2535,1.28,40.16071,-114.56104,3.037
2.36,15,9.566,1.881,1442,1.626,32.73643,-123.97195,0.672
9.61,18,6.144,2.775,1320,5.854,37.32458,-121.01646,4.664
14.861,38,7.862,4.787,223,2.965,33.42353,-117.20586,5.993
2.961,13,7.831,1.636,1967,4.859,40.72405,-115.70324,1.094
8.257,24,6.522,1.352,4273,2.102,36.79525,-122.67864,3.723
13.283,13,4.581,1.234,3048,3.665,33.42313,-114.77669,5.141
11.371,1,7.336,1.493,3445,1.763,41.84471,-122.78687,4.506
10.758,48,2.698,1.248,1963,5.044,35.23697,-115.45531,4.693
10.835,36,9.851,3.739,3644,1.84,34.39719,-115.28684,4.61
6.033,49,3.472,1.47,470,4.53,37.86335,-116.80067,2.905
5.11,18,4.203,1.79,4349,1.755,37.10249,-115.22342,2.12
12.331,48,9.636,3.582,1710,5.093,35.10763,-123.54337,5.493
12.342,33,3.492,2.785,4612,3.515,39.5047,-114.86682,5.198
13.139,38,3.361,1.219,1145,3.062,35.25007,-119.62382,5.486
13.785,43,8.436,4.883,4451,2.684,35.77794,-121.35685,6.303
8.159,6,4.01,3.4,1704,4.439,39.14965,-124.337,2.827
8.021,17,2.758,3.455,953,1.44,37.92841,-118.52466,3.53
12.176,4,3.813,4.41,134,5.281,35.24342,-123.75714,4.768
10.099,14,9.107,4.636,1346,4.806,41.2662,-124.27357,3.7
10.828,30,4.243,1.228,1249,2.865,39.32883,-120.09935,4.811
12.141,46,7.56,1.273,2276,5.888,35.37116,-123.77376,5.905
13.46,20,5.161,4.106,3741,5.16,40.69521,-115.68105,5.416
5.732,8,4.097,3.783,4027,2.354,35.47133,-123.92767,1.438
6.258,2,3.152,1.867,1352,5.439,41.76867,-118.60882,2.593
2.316,37,9.778,2.285,2369,1.495,41.12611,-118.95861,1.84
9.096,4,6.169,3.444,3619,4.448,36.3099,-118.61529,3.696
1.503,10,2.918,4.156,4784,1.657,38.79916,-123.03857,-0.388
7.518,20,3.591,3.413,4550,5.88,37.58761,-115.31414,3.0
8.597,35,5.258,4.168,3083,1.248,40.25956,-117.68065,3.514
5.012,48,6.353,1.914,1541,2.164,40.69284,-116.34,2.014
9.272,10,3.454,2.324,4635,3.651,38.48779,-115.66922,4.252
1.427,28,4.222,1.406,622,3.92,37.77807,-115.18541,1.572
1.523,15,8.27,4.939,3132,3.565,35.7242,-116.95695,0.233
12.516,36,5.34,4.236,1419,4.7,41.05035,-116.91783,5.737
6.043,1,2.011,3.863,4848,1.008,38.25832,-122.86213,2.313
2.779,22,2.432,1.779,763,3.819,33.1415,-122.65516,1.079
8.311,27,5.515,3.795,3271,4.075,38.85119,-116.63926,4.122
11.78,29,2.481,4.45,1259,2.045,34.52245,-122.13554,4.64
4.021,15,3.391,4.241,3418,4.296,33.8431,-118.70515,1.474
9.72,10,7.823,4.019,1002,4.27,41.86692,-121.60316,3.629
2.195,20,5.843,2.549,4513,3.651,41.01722,-121.76908,0.971
1.724,22,5.86,4.068,1108,2.296,39.41349,-119.75653,0.936
8.439,50,6.786,2.938,1322,3.083,38.07721,-122.69834,3.998
8.569,48,8.308,2.618,226,2.362,36.15837,-115.68618,4.024
9.924,9,3.269,4.859,1152,4.849,35.50612,-122.87566,3.543
11.165,51,3.384,1.587,958,4.093,35.69693,-116.38122,4.944
14.662,32,2.971,4.459,4683,1.756,36.79993,-119.56917,5.728
8.228,17,9.495,2.288,3509,3.838,35.74923,-122.27221,4.341
5.521,42,6.618,3.066,3685,5.516,34.63502,-120.87229,2.392
12.133,19,2.741,2.452,2078,5.164,41.1671,-120.00695,4.172
4.792,40,3.765,3.013,3096,5.456,39.70891,-121.52964,1.571
7.146,27,7.805,4.274,4903,5.585,38.59131,-116.05958,3.92
2.098,51,2.232,1.732,416,1.941,36.7058,-120.76099,1.737
1.355,37,7.805,4.019,2833,4.598,40.14121,-119.346,0.574
14.477,34,9.292,2.784,3499,4.222,34.02968,-124.1043,6.33
12.704,47,2.451,4.74,4807,1.167,33.82322,-122.08024,4.841
10.744,49,3.491,3.188,4766,4.891,41.56356,-123.55982,4.57
6.725,10,2.019,1.166,403,2.036,41.45246,-115.04135,3.61
3.426,30,2.872,4.641,2028,5.585,38.85057,-115.52859,2.008
3.19,21,6.936,4.698,2549,5.176,36.92348,-121.50784,1.447
4.503,21,2.359,1.72,1977,4.844,40.95165,-119.37517,0.708
8.689,34,5.407,4.891,848,4.484,39.52796,-121.05544,3.769
11.004,9,6.027,2.783,3374,3.35,39.8035,-116.39971,4.593
10.243,34,9.253,4.658,3326,4.989,38.68102,-122.00856,4.457
4.919,50,5.794,2.456,515,5.096,41.25648,-116.03517,2.076
14.368,12,3.14,1.091,321,1.492,35.45456,-122.54709,6.497
11.331,47,4.314,4.18,3513,2.655,35.03101,-121.3969,4.576
8.761,21,7.378,4.543,4030,2.583,38.08676,-115.24742,4.044
9.564,20,2.897,1.651,2862,1.623,35.83069,-121.45491,4.25
6.874,6,3.854,3.216,4926,5.879,33.03685,-115.01852,2.564
4.468,50,9.966,4.326,1107,3.918,41.63872,-123.00538,2.908
5.984,45,2.044,2.846,4628,3.949,41.08382,-117.89306,2.25
11.61,36,3.217,4.153,756,2.912,32.599,-121.53017,4.871
1.202,12,8.749,3.552,3466,4.843,40.74735,-121.09582,1.656
2.625,41,2.811,3.883,4908,3.378,37.41978,-115.81427,0.741
1.644,31,2.269,4.675,4636,4.711,37.29812,-118.50011,0.641
1.57,2,2.97,2.667,1650,5.39,34.09012,-122.14838,0.751
12.976,16,7.549,4.084,991,4.285,34.36857,-114.66182,5.539
10.851,1,9.945,3.851,4098,4.116,35.16872,-120.22951,4.712
7.638,4,6.725,2.756,3433,4.935,37.78345,-115.34185,2.736
2.37,47,2.995,2.525,4004,3.515,37.08636,-115.00759,1.386
7.883,1,3.47,4.525,1465,5.058,35.12428,-120.09095,2.69
7.629,47,6.301,1.819,1153,1.462,40.15731,-120.13985,4.634
3.425,35,7.725,2.274,4281,2.21,35.84036,-118.70622,1.88
7.074,13,7.303,4.898,808,5.623,34.37038,-117.8399,2.004
6.579,50,6.598,2.109,2567,1.856,36.4284,-123.83848,3.47
9.622,45,9.89,4.49,401,3.265,39.20603,-123.70296,5.037
9.891,42,3.584,2.486,3556,3.404,35.57474,-121.81946,4.442
1.634,31,3.383,3.205,3416,3.088,35.52647,-119.9513,0.539
6.245,20,8.872,2.593,1519,5.335,33.60001,-117.65494,2.611
9.762,7,4.327,1.885,2141,4.749,33.46554,-122.37883,4.133
8.044,40,4.66,3.764,4021,5.051,35.28307,-121.25594,4.099
12.991,33,6.389,4.866,4944,5.956,39.33611,-120.20127,5.899
10.222,28,5.05,4.571,1495,5.874,37.60951,-121.52126,4.296
3.281,50,4.301,4.941,4378,5.461,40.33695,-120.43167,1.147
1.988,44,9.337,3.765,788,3.828,39.32373,-123.08589,1.367
9.994,50,3.034,1.138,3354,2.507,38.55807,-124.24342,4.637
1.371,44,5.234,3.216,1959,4.619,33.85613,-122.36919,0.779
9.201,20,2.024,3.49,908,5.746,41.19222,-121.59329,2.851
14.163,32,8.46,1.481,3354,5.951,32.7823,-116.26445,6.548
9.057,9,3.347,4.314,3117,4.066,41.5966,-116.65828,4.054
6.434,34,8.184,3.92,557,4.504,40.1331,-116.9191,4.007
10.006,14,3.189,2.794,818,2.394,34.89671,-114.50769,3.723
7.416,4,5.334,2.168,2830,2.008,41.86223,-120.18307,2.624
8.639,29,7.825,1.887,1616,4.194,36.75906,-123.32447,4.007
14.181,15,4.166,4.858,2612,2.126,40.14362,-115.96937,5.915
6.405,17,4.511,4.208,1205,2.977,41.35546,-118.39256,2.41
14.457,19,7.339,3.774,412,3.463,37.22761,-114.10248,5.903
13.675,38,3.502,4.794,1939,5.663,38.3903,-120.90358,6.634
3.741,9,9.614,1.814,3112,5.888,38.71993,-115.39663,1.062
1.971,27,3.51,4.43,4075,2.236,38.04284,-115.54121,0.592
2.411,49,8.0,3.334,2843,1.66,34.26371,-114.27155,1.008
1.255,15,8.421,4.732,721,2.124,35.27324,-114.26295,0.565
2.322,37,4.995,3.642,3134,3.594,33.51883,-114.18397,0.434
10.562,28,3.25,3.966,4311,4.915,36.63893,-114.98548,5.462
1.997,50,3.327,1.889,1744,3.61,34.26009,-121.71263,1.079
5.466,4,9.884,2.38,3450,5.666,34.16442,-119.85321,2.879
12.828,21,7.803,2.209,3724,4.187,33.59637,-114.404,6.536
1.326,34,5.6,3.777,186,3.418,36.5206,-120.29268,1.179
12.403,19,4.059,2.645,3264,4.851,33.3796,-114.94166,5.111
4.946,37,2.151,4.44,1348,5.769,39.43052,-116.60768,2.177
2.654,4,7.364,1.85,3486,2.666,41.05105,-115.47914,0.978
10.754,37,9.655,4.183,2402,2.375,35.47609,-116.59915,4.617
9.805,51,2.855,4.253,3161,2.067,40.47447,-120.46817,5.3
13.285,32,8.036,3.512,3445,3.678,38.09507,-121.59073,6.051
11.291,45,3.226,1.593,2474,3.341,36.35586,-117.15639,4.713
12.249,48,8.337,2.307,4063,2.236,40.21619,-123.49851,6.62
4.948,12,4.965,2.591,235,4.608,39.98419,-122.49787,2.039
3.484,41,7.696,2.862,461,2.488,41.43313,-124.09208,2.552
